decision_step,minute,c_uf,v_buf,c_aver,m_fp,price,q_uf,q_fp,q_fp_cmd,energy_cost_step,total_energy_cost,reward,safety_violation,dry_run_violation,low_conc_violation,low_buffer_fp_guarded,fp_busy,fp_total_cycles
32,160,0.7122604846954346,0.7522658109664917,0.7083983421325684,0.4782547354698181,0.46000000834465027,2.7187843322753906,3.716521453857422,9.291303634643555,1.1534120080257175,11.503693705235806,-0.5598160717901353,False,False,False,True,False,0
33,165,0.7136879563331604,0.7615869641304016,0.7092565298080444,0.6909565329551697,0.46000000834465027,1.7586888074874878,1.6468345642089843,8.234172821044922,1.1511731352133319,12.654866840449138,-0.8233540537110314,False,False,False,True,False,0
34,170,0.7149580121040344,0.8284171223640442,0.7105458974838257,0.9152358770370483,0.46000000834465027,2.534186840057373,1.7322254180908203,8.661127090454102,1.151456736116775,13.806323576565914,-0.8120316904071434,False,False,False,True,False,0
35,175,0.7161763906478882,0.7665860652923584,0.7119939923286438,1.3858057260513306,0.46000000834465027,2.8759896755218506,3.617961883544922,9.044904708862305,1.1531959758398906,14.959519552405807,-0.5673064694127931,False,False,False,True,False,0
36,180,0.7174445986747742,0.8281533718109131,0.7132695913314819,1.6341676712036133,0.46000000834465027,2.640921115875244,1.9021137237548829,9.510568618774414,1.151899966118577,16.111419518524382,-0.7883481111367932,False,False,False,True,False,0
37,185,0.7185277938842773,0.8243826627731323,0.7149037718772888,2.1288537979125977,0.46000000834465027,3.7254302501678467,3.7706787109375,9.42669677734375,1.1538459438040747,17.265265462328458,-0.5437751857039079,False,False,False,True,False,0
38,190,0.7194648385047913,0.7320939302444458,0.7167009711265564,2.908623695373535,0.46000000834465027,4.801944732666016,5.909409713745117,9.849016189575195,1.1567844199130846,18.422049882241545,-0.26133616800692905,False,False,False,True,False,0
39,195,0.7202802300453186,0.8711238503456116,0.7182631492614746,3.4680867195129395,0.46000000834465027,5.885588645935059,4.2172294616699215,10.543073654174805,1.1565907289817337,19.578640611223282,-0.4814684954020447,False,False,False,True,False,0
40,200,0.7209849953651428,0.7437858581542969,0.7196308374404907,4.606804847717285,0.46000000834465027,7.016829490661621,8.54488525390625,10.681106567382812,1.1629837786508463,20.741624389874122,0.09203253088055408,False,False,False,True,False,0
41,205,0.7216856479644775,0.8262168765068054,0.7206510305404663,5.483532905578613,0.46000000834465027,7.541896343231201,6.552724456787109,10.921207427978516,1.1618078462831942,21.90343223615731,-0.16889907202075904,False,False,False,True,False,0
42,210,0.7224860191345215,0.9122178554534912,0.7214947938919067,6.321742057800293,0.46000000834465027,7.281116485595703,6.249104690551758,10.41517448425293,1.1603695506170124,23.06380178677432,-0.2061232990798847,False,False,False,True,False,0
43,215,0.7234185934066772,0.8145263195037842,0.722316563129425,7.360844135284424,0.46000000834465027,6.554481029510498,7.726779174804688,9.65847396850586,1.1598406559820964,24.223642442756415,-0.00475439966079283,False,False,False,True,False,0
44,220,0.7241332530975342,0.7742352485656738,0.7232422828674316,8.498685836791992,0.46000000834465027,7.952253818511963,8.435746765136718,10.544683456420898,1.1640609921262253,25.387703434882642,0.09018642137230293,False,False,False,True,False,0
45,225,0.7249091863632202,0.7663223743438721,0.724053144454956,9.559900283813477,0.46000000834465027,7.75092887878418,7.845883178710937,9.807353973388672,1.1618744985092524,26.549577933391898,0.01552757627576451,False,False,False,True,False,0
46,230,0.7256930470466614,0.8678005933761597,0.7248188257217407,10.444998741149902,0.46000000834465027,7.745849132537842,6.528110504150391,10.880184173583984,1.1620485126880364,27.711626446079933,-0.1607450072069616,False,False,False,True,False,0
47,235,0.7262790203094482,0.9150460362434387,0.7256047129631042,11.6076078414917,0.46000000834465027,9.123077392578125,8.556132507324218,10.695165634155273,1.1668298655112503,28.878456311591183,0.11246235064270005,False,False,False,True,False,0
48,240,0.7268843650817871,0.9343768954277039,0.7262900471687317,12.835347175598145,0.46000000834465027,9.247801780700684,9.015830993652344,11.26978874206543,1.1687937866712927,30.04725009826247,0.1758248331401726,False,False,False,True,False,0
49,245,0.72752845287323,0.9235603213310242,0.7269372940063477,14.096589088439941,0.46000000834465027,9.112937927246094,9.24273681640625,11.553421020507812,1.1693717506923325,31.21662184895481,0.20880745985132343,False,False,False,True,False,0
50,250,0.7283264398574829,0.9048548936843872,0.727553129196167,15.22381591796875,0.46000000834465027,8.018492698669434,8.242958068847656,8.242958068847656,1.1603765885131732,32.37699843746798,0.08288746756501442,False,False,False,False,False,0
51,255,0.7290160655975342,0.8951379060745239,0.7282856702804565,16.407127380371094,0.46000000834465027,8.519214630126953,8.635818481445312,10.79477310180664,1.165810100484068,33.54280853795206,0.1340833377050199,False,False,False,True,False,0
52,260,0.7295914888381958,0.8027471303939819,0.7290036082267761,17.827590942382812,0.46000000834465027,9.233359336853027,10.342048645019531,10.342048645019531,1.1683682867559755,34.71117682470805,0.3689313906051035,False,False,False,False,False,0
53,265,0.7302484512329102,0.7684536576271057,0.7296502590179443,19.078943252563477,0.46000000834465027,8.679193496704102,9.090715026855468,11.363393783569336,1.1678218540580922,35.878998678766145,0.20031234156581945,False,False,False,True,False,0
54,270,0.7309196591377258,0.7972726821899414,0.7302805185317993,20.19317054748535,0.46000000834465027,8.42371940612793,8.077891540527343,10.09736442565918,1.1637831800970573,37.0427818588632,0.06682323091779763,False,False,False,True,True,1
55,275,0.7316157817840576,1.467533826828003,0.730765163898468,20.19317054748535,0.46000000834465027,8.043133735656738,0.0,9.460721969604492,1.1547870029716032,38.1975688618348,-1.039308302674443,False,False,False,False,True,1
56,280,0.7320087552070618,2.3002495765686035,0.731157660484314,20.19317054748535,0.46000000834465027,9.992589950561523,0.0,11.463058471679688,1.1591795634146445,39.356748425249464,-1.04326160707318,False,False,False,False,False,1
57,285,0.7323542833328247,2.342275381088257,0.7315049767494202,21.587045669555664,0.46000000834465027,10.567397117614746,10.063089370727539,10.063089370727539,1.1711064362081367,40.527854861457584,0.33987929097504765,False,False,False,False,False,1
58,290,0.7325878739356995,2.2730281352996826,0.7318587899208069,23.312849044799805,0.46000000834465027,11.614829063415527,12.445795059204102,12.445795059204102,1.1838060609088272,41.71166092236643,0.6603771242697292,False,False,False,False,False,1
59,295,0.7326790690422058,2.4190618991851807,0.7321574687957764,24.87583351135254,0.46000000834465027,13.012191772460938,11.259786605834961,11.259786605834961,1.1846280316596793,42.89628895402611,0.4968194499905547,False,False,False,False,False,1
60,300,0.732817530632019,2.452031135559082,0.7323848605155945,26.643779754638672,0.46000000834465027,13.121501922607422,12.725872039794922,12.725872039794922,1.191513889855602,44.08780284388172,0.6955840440194947,False,False,False,False,False,1
61,305,0.7331435680389404,2.7750537395477295,0.7325911521911621,27.76163101196289,0.46000000834465027,11.917339324951172,8.041067123413086,8.041067123413086,1.1708009019194325,45.25860374580116,0.06413097120117128,False,False,False,False,False,1
62,310,0.7333785891532898,2.8054909706115723,0.7328152060508728,29.437793731689453,0.46000000834465027,12.41436767578125,12.04911994934082,12.04911994934082,1.185197053033166,46.44380079883433,0.609484567935817,False,False,False,False,False,1
63,315,0.7335728406906128,3.1552650928497314,0.7330235838890076,30.615074157714844,0.46000000834465027,12.654389381408691,8.457099914550781,8.457099914550781,1.174726813671053,47.618527612505375,0.12002557627072186,False,False,False,False,False,1
64,320,0.733691930770874,3.1097164154052734,0.7332139015197754,32.52579116821289,0.46000000834465027,13.17068099975586,13.717266082763672,13.717266082763672,1.1969803961886925,48.81550800869405,0.8334359055462968,False,False,False,False,False,1
65,325,0.7337989807128906,3.2670581340789795,0.7333779335021973,34.11226272583008,0.46000000834465027,13.271183013916016,11.38308334350586,11.38308334350586,1.186339462320758,50.00184747101482,0.5187669641431372,False,False,False,False,False,1
66,330,0.7339958548545837,3.349790096282959,0.7335298657417297,35.72105026245117,0.46000000834465027,12.530364990234375,11.537580490112305,11.537580490112305,1.1835479087390453,51.18539537975387,0.5435928816178561,False,False,False,False,False,1
67,335,0.7341609597206116,3.524397373199463,0.7336826920509338,37.1732292175293,0.46000000834465027,12.504766464233398,10.409479141235352,10.409479141235352,1.1793345084241862,52.364729888178054,0.3907769378275472,False,False,False,False,False,1
68,340,0.7342180609703064,3.695678949356079,0.7338199615478516,38.71416473388672,0.46000000834465027,13.095980644226074,11.04060173034668,11.04060173034668,1.1841998064636996,53.54892969464174,0.4751559092772486,False,False,False,False,False,1
69,345,0.7342059016227722,3.893714427947998,0.7339226603507996,40.27485656738281,0.46000000834465027,13.554254531860352,11.17782974243164,11.17782974243164,1.1869569023703903,54.73588659701214,0.492430008453723,False,False,False,False,True,2
70,350,0.7343220710754395,4.941073894500732,0.7339982390403748,40.27485656738281,0.46000000834465027,12.568312644958496,0.0,7.539491653442383,1.1682649611972664,55.90415155820942,-1.05143846507754,False,False,False,False,True,2
71,355,0.7342120409011841,6.1074042320251465,0.7340471744537354,40.27485656738281,0.46000000834465027,13.995964050292969,0.0,12.820466995239258,1.1752229734198874,57.079374531629306,-1.0577006760778986,False,False,False,False,False,2
72,360,0.7340494990348816,6.656054496765137,0.7340583205223083,41.380062103271484,0.46000000834465027,14.494734764099121,7.910928726196289,7.910928726196289,1.182996555735538,58.262371087364855,0.04051040816442919,False,False,False,False,False,2
73,365,0.7337303161621094,6.788893222808838,0.7340204119682312,43.365936279296875,0.46000000834465027,15.808979034423828,14.214914321899414,14.214914321899414,1.2152402483776885,59.47761133574254,0.8921558956220839,False,False,False,False,False,2
74,370,0.733354926109314,7.337311744689941,0.73392653465271,44.76059341430664,0.46000000834465027,16.56591796875,9.984895706176758,9.984895706176758,1.2018376463861387,60.67944898212868,0.31300607284554194,False,False,False,False,False,2
75,375,0.7330942153930664,7.977955341339111,0.7338091135025024,45.91807556152344,0.46000000834465027,15.977300643920898,8.289579391479492,8.289579391479492,1.1932526185484946,61.87270160067719,0.08355473689294213,False,False,False,False,False,2
76,380,0.7329138517379761,8.558384895324707,0.7336907386779785,47.08400344848633,0.46000000834465027,15.318316459655762,8.353157043457031,8.353157043457031,1.1889314104477264,63.06163301112491,0.09589005718223453,False,False,False,False,False,2
77,385,0.7325924038887024,9.184118270874023,0.7335529327392578,48.2911491394043,0.46000000834465027,16.160606384277344,8.651813507080078,8.651813507080078,1.1953433894344194,64.25697640055932,0.13133660747197662,False,False,False,False,False,2
78,390,0.732100248336792,9.871783256530762,0.7333729267120361,49.57637405395508,0.46000000834465027,17.467784881591797,9.215801239013672,9.215801239013672,1.2069071630257864,65.46388356358509,0.19900611966997261,False,False,False,False,False,2
79,395,0.7314886450767517,10.590360641479492,0.7331393957138062,50.97218322753906,0.46000000834465027,18.637950897216797,10.015024185180664,10.015024185180664,1.2196675016244414,66.68355106520951,0.2981076452799938,False,False,False,False,False,2
80,400,0.730758011341095,11.258708953857422,0.732841432094574,52.6303825378418,0.46000000834465027,19.927467346191406,11.907281875610352,11.907281875610352,1.2397831250745546,67.92333419028405,0.542394974240842,False,False,False,False,False,2
81,405,0.7300284504890442,12.08404541015625,0.7324976325035095,54.08719253540039,0.46000000834465027,20.375505447387695,10.471475601196289,10.471475601196289,1.2393730146516382,69.16270720493567,0.34137549598536454,False,False,False,False,False,2
82,410,0.7294256091117859,12.973257064819336,0.7321497797966003,55.336700439453125,0.46000000834465027,19.661623001098633,8.991083145141602,8.991083145141602,1.2272378995066568,70.38994510444236,0.14499249934963543,False,False,False,False,False,2
83,415,0.7288253903388977,13.507648468017578,0.7317915558815002,57.158164978027344,0.46000000834465027,19.533761978149414,13.121061325073242,13.121061325073242,1.2412930241425713,71.63123812858495,0.7043017625829542,False,False,False,False,False,2
84,420,0.7281607985496521,14.338240623474121,0.7314139008522034,58.52973937988281,0.75,19.858619689941406,9.891510009765625,9.891510009765625,1.231784649022249,72.8630227776072,0.2629703426605694,False,False,False,False,False,2
85,425,0.7275241017341614,15.054400444030762,0.7310324311256409,60.04570007324219,0.75,19.539587020874023,10.945669174194336,10.945669174194336,2.0084076724825053,74.87143045008972,-0.29160690129389777,False,False,False,False,True,3
86,430,0.7268306016921997,16.700632095336914,0.7306481003761292,60.04570007324219,0.75,19.754770278930664,0.0,14.714559555053711,1.9906397676622758,76.86207021775198,-1.7915757908960483,False,False,False,False,True,3
87,435,0.7259734272956848,18.438573837280273,0.7302423715591431,60.04570007324219,0.75,20.855316162109375,0.0,12.262777328491211,2.0110634858813974,78.87313370363339,-1.8099571372932577,False,False,False,False,False,3
88,440,0.7250092029571533,18.933429718017578,0.7297929525375366,62.233280181884766,0.75,21.792049407958984,15.853788375854492,15.853788375854492,2.0955808014980626,80.96871450513143,0.3015563960687242,False,False,False,False,False,3
89,445,0.7241573333740234,19.524240493774414,0.7293296456336975,64.17302703857422,0.75,21.16734504699707,14.077625274658203,14.077625274658203,2.063015184326246,83.03172968945768,0.08303116678838829,False,False,False,False,False,3
90,450,0.7233697772026062,19.44658660888672,0.7288540005683899,67.13233947753906,0.75,20.576509475708008,21.508346557617188,21.508346557617188,2.16885261681319,85.20058230627087,1.0073501807710692,False,False,False,False,False,3
91,455,0.722667932510376,19.701152801513672,0.7283809781074524,69.4145736694336,0.75,19.6666202545166,16.61182403564453,16.61182403564453,2.064274837300353,87.26485714357126,0.4243860980724494,False,False,False,False,False,3
92,460,0.7221534252166748,19.07759666442871,0.7279358506202698,72.89232635498047,0.75,17.867284774780273,25.34996795654297,25.34996795654297,2.227712609997132,89.4925697535684,1.472807383958171,False,False,False,False,False,3
93,465,0.7216895222663879,18.9096622467041,0.7275064587593079,75.4693374633789,0.75,16.794811248779297,18.81001091003418,18.81001091003418,2.0552015141349944,91.54777126770342,0.7273324286060499,False,False,False,False,False,3
94,470,0.7213180661201477,18.451473236083984,0.7271044850349426,78.33808135986328,0.75,15.468327522277832,20.966609954833984,20.966609954833984,2.081668111671118,93.62943937937453,0.995244612985186,False,False,False,False,False,3
95,475,0.7209723591804504,18.332763671875,0.7267199754714966,80.52587127685547,0.75,14.582959175109863,16.007475280761717,20.00934410095215,2.0266222169681924,95.65606159634274,0.3638290712146457,False,False,False,False,True,4
96,480,0.7206600904464722,19.477970123291016,0.7263748645782471,80.52587127685547,0.75,13.7424955368042,0.0,17.50677490234375,1.9139303288990017,97.56999192524172,-1.7225372960091017,False,False,False,False,True,4
97,485,0.7201483249664307,20.328638076782227,0.7260250449180603,81.11321258544922,0.75,14.517372131347656,4.3093727111816404,21.546863555908203,1.9537042632082042,99.5236961884499,-1.1709909849564566,False,False,False,False,False,4
98,490,0.7194807529449463,20.234291076660156,0.7256409525871277,83.36580657958984,0.75,15.406638145446777,16.538799285888672,16.538799285888672,2.004043974144952,101.52774016259485,0.44895145958382865,False,False,False,False,False,4
99,495,0.7188281416893005,19.58431053161621,0.7252307534217834,86.5282211303711,0.75,15.4474458694458,23.247196197509766,23.247196197509766,2.1363264689774697,103.66406663157235,1.2397187758519261,False,False,False,False,False,4
100,500,0.718305766582489,19.210853576660156,0.7248207926750183,89.13407897949219,0.75,14.698896408081055,19.180389404296875,19.180389404296875,2.038355047268923,105.70242167884125,0.7713429134491554,False,False,False,False,False,4
101,505,0.7179358601570129,18.328157424926758,0.724425733089447,92.41889953613281,0.75,13.615768432617188,24.20812225341797,24.20812225341797,2.145517876089884,107.84793955493114,1.3538523808512415,False,False,False,False,False,4
102,510,0.717583179473877,17.706859588623047,0.724028468132019,95.22271728515625,1.0399999618530273,13.233119010925293,20.688701629638672,20.688701629638672,2.0549804144667094,109.90291996939789,0.954334879898695,False,False,False,False,False,4
103,515,0.7172137498855591,16.866119384765625,0.7236196398735046,98.36416625976562,1.0399999618530273,13.120018005371094,23.208887100219727,23.208887100219727,2.9312661915852054,112.8341861609831,0.503312112207563,False,False,False,False,False,4
104,520,0.7168356776237488,16.932048797607422,0.7232034206390381,100.02104949951172,1.0399999618530273,13.04464054107666,12.253488922119141,20.422481536865234,2.7623890158316398,115.59657517681472,-0.8292688114370765,False,False,False,False,True,5
105,525,0.7163364887237549,18.077470779418945,0.7227852940559387,100.02104949951172,1.0399999618530273,13.745058059692383,0.0,24.44845199584961,2.6540135934114506,118.2505887702262,-2.3886122340703055,False,False,False,False,True,5
106,530,0.7156434655189514,18.712940216064453,0.7223377227783203,101.03279876708984,1.0399999618530273,15.132750511169434,7.507109069824219,18.767772674560547,2.732211395404103,120.9828001656303,-1.4472401293461807,False,False,False,False,False,5
107,535,0.7148672342300415,18.301002502441406,0.7218363285064697,103.86930847167969,1.0399999618530273,16.1251277923584,21.06838607788086,21.06838607788086,2.899875465367359,123.88267563099765,0.2266156958394414,False,False,False,False,False,5
108,540,0.714037299156189,17.804840087890625,0.7212716937065125,106.95761108398438,1.0399999618530273,17.02215003967285,22.976097106933594,22.976097106933594,2.978412590245079,126.86108822124274,0.4077346010191061,False,False,False,False,False,5
109,545,0.7132530212402344,17.376453399658203,0.7206653952598572,109.96852111816406,1.0399999618530273,17.300058364868164,22.44070816040039,22.44070816040039,2.964684012767857,129.82577223401057,0.3426959165151042,False,False,False,False,False,5
110,550,0.7126232385635376,16.94761085510254,0.7200586795806885,112.89630889892578,1.0399999618530273,16.71614646911621,21.862258911132812,21.862258911132812,2.934777912510951,132.7605501465215,0.28648788228750677,False,False,False,False,False,5
111,555,0.7121284008026123,16.28902244567871,0.7194639444351196,116.0861587524414,1.0399999618530273,15.960479736328125,23.863536834716797,23.863536834716797,2.993600087190347,135.75415023371184,0.4956075317569004,False,False,False,False,False,5
112,560,0.7116472125053406,15.631355285644531,0.718860387802124,119.24504089355469,1.0399999618530273,15.783710479736328,23.67571258544922,23.67571258544922,2.9835815465186903,138.7377317802305,0.47366183085256974,False,False,False,False,False,5
113,565,0.7111032605171204,16.139896392822266,0.7182437181472778,120.57870483398438,1.0399999618530273,16.111438751220703,10.008940124511719,25.022350311279297,2.8294992088305904,141.56723098906107,-1.2128862163545229,False,False,False,False,True,6
114,570,0.7105454802513123,17.493408203125,0.7176719903945923,120.57870483398438,1.0399999618530273,16.242130279541016,0.0,20.103605270385742,2.689123514470555,144.25635450353164,-2.4202111630234997,False,False,False,False,True,6
115,575,0.7099950313568115,17.845781326293945,0.7171306610107422,122.17427825927734,1.0399999618530273,16.25688934326172,12.028395080566407,20.047325134277344,2.7992979090489074,147.05565241258057,-0.9237937436923729,False,False,False,False,False,6
116,580,0.7093834280967712,17.370445251464844,0.7165608406066895,125.14186096191406,1.0399999618530273,16.698043823242188,22.402080535888672,22.402080535888672,2.9525028167016543,150.0081552292822,0.3103266300464611,False,False,False,False,False,6
117,585,0.7087172269821167,16.670204162597656,0.7159479260444641,128.52651977539062,1.0399999618530273,17.194059371948242,25.596967697143555,25.596967697143555,3.087117228751926,153.0952724580341,0.6062554868012029,False,False,False,False,False,6
118,590,0.7081504464149475,16.27150535583496,0.7153324484825134,131.37086486816406,1.0399999618530273,16.767303466796875,21.55168914794922,21.55168914794922,2.925689045673287,156.0209615037074,0.21122011690451759,False,False,False,False,False,6
119,595,0.7077429294586182,15.675695419311523,0.7147457003593445,134.39044189453125,1.0399999618530273,15.772587776184082,22.92230224609375,22.92230224609375,2.9555047912302856,158.97646629493764,0.35963021977011334,False,False,False,False,False,6
120,600,0.7073974609375,15.128974914550781,0.7141776084899902,137.24752807617188,1.0399999618530273,15.16700267791748,21.727642059326172,21.727642059326172,2.9058298482616944,161.88229614319937,0.2418392653263104,False,False,False,False,False,6
121,605,0.7070928812026978,14.633413314819336,0.7136287093162537,139.95223999023438,1.0399999618530273,14.657739639282227,20.60447883605957,20.60447883605957,2.8644266518068644,164.74672279500624,0.1267202782625545,False,False,False,False,False,6
122,610,0.7069414854049683,15.48837661743164,0.7131545543670654,140.37083435058594,1.0399999618530273,13.451705932617188,3.192147445678711,15.960737228393555,2.6691207744259415,167.41584356943224,-1.9836087235332336,False,False,False,False,True,7
123,615,0.7067487835884094,16.596296310424805,0.7127365469932556,140.37083435058594,1.0399999618530273,13.295032501220703,0.0,21.277732849121094,2.648880039142987,170.06472360857518,-2.3839920352286885,False,False,False,False,True,7
124,620,0.7063661813735962,16.33201789855957,0.7123094797134399,142.63975524902344,1.0399999618530273,14.190020561218262,17.361355590820313,21.70169448852539,2.8453703055335633,172.91009391410876,-0.2919192720336481,False,False,False,False,False,7
125,625,0.7058522701263428,15.536108016967773,0.7118337750434875,145.8521728515625,1.0399999618530273,15.060674667358398,24.611595153808594,24.611595153808594,3.0100709910320527,175.92016490514078,0.5033656641900013,False,False,False,False,False,7
126,630,0.7052581310272217,14.861165046691895,0.7113046050071716,148.9693603515625,1.159999966621399,15.81922435760498,23.91854476928711,23.91854476928711,2.993516553710223,178.91368145885104,0.4230168457394914,False,False,False,False,False,7
127,635,0.7048876881599426,14.59898567199707,0.71080082654953,151.3042755126953,1.159999966621399,14.798833847045898,17.94498062133789,17.94498062133789,3.121764843718289,182.03544630256937,-0.47467363972057486,False,False,False,False,False,7
128,640,0.7047857642173767,14.413956642150879,0.7103672027587891,153.29994201660156,1.159999966621399,13.139934539794922,15.360282897949219,15.360282897949219,3.0445568478536207,185.08000315042304,-0.7444365090982767,False,False,False,False,False,7
129,645,0.7048236727714539,14.065155982971191,0.7099926471710205,155.39137268066406,1.159999966621399,11.932147979736328,16.11776351928711,16.11776351928711,3.0456170547454335,188.12562020516845,-0.6496250517817361,False,False,False,False,False,7
130,650,0.7048691511154175,13.507204055786133,0.7096489071846008,157.74057006835938,1.159999966621399,11.42911148071289,18.124528884887695,18.124528884887695,3.0856526305105128,191.21127283567895,-0.42788505638113206,False,False,False,False,False,7
131,655,0.7048821449279785,12.942667007446289,0.709321141242981,160.07554626464844,1.159999966621399,11.259068489074707,18.03351402282715,18.03351402282715,3.08186592509843,194.29313876077737,-0.43870490590026767,False,False,False,False,True,8
132,660,0.7049286365509033,13.84510612487793,0.7090358734130859,160.07554626464844,1.159999966621399,10.829273223876953,0.0,16.517566680908203,2.929463607359601,197.2226023681369,-2.636517246623641,False,False,False,False,True,8
