controller,mass_mean,mass_std,energy_mean,energy_std,eei_mean,zero_unsafe_rate,unsafe_steps_mean,completion_rate,inband_rate,governed_minutes_mean,post_target_cmd_qfp_mean,post_target_applied_qfp_mean
CC-TD3 no governor,438.8989081975242,2.304587047527293,703.1169372177837,9.19368653486648,703.1169372177837,1.0,0.0,1.0,0.0,0.0,60.618913846056,43.290183374741495
CC-TD3 with governor,400.5395921718866,0.2743879647193213,672.7693813421272,7.174202477825119,672.7693813421272,1.0,0.0,1.0,1.0,69.2,35.17431795822472,1.5972168507295497
CC-PID current env,400.1555904060089,0.09879159509586254,582.8446483506192,0.09379053979128933,582.8446483506192,1.0,0.0,1.0,1.0,,,
