file,mode,checkpoint,mean_mass,std_mass,mean_energy,mean_avg_c_uf,unsafe_ep_rate,unsafe_step_rate,dry_run_step_rate,low_conc_step_rate,pass_rate
cc_sac_lowenergy_repaired_eval.json,CC,best_model.pth,400.1129038250418,0.08124092227961272,95.9881907068332,0.7175104878327073,0.0,0.0,0.0,0.010416666666666666,1.0
cd_best_model_eval.json,CD,best_model.pth,401.191996630417,5.172052230031344,250.11293059646854,0.7181891320280483,1.0,0.04375,0.0,0.010416666666666666,0.8
cd_best_stage1_eval.json,CD,best_stage1.pth,370.2120350906051,0.685674807810778,174.14074780552437,0.7095293664681629,0.0,0.0,0.0,0.03125,0.0
cd_best_stage2_eval.json,CD,best_stage2.pth,425.1823146500399,5.510180627066717,229.5078296862548,0.7032508125888635,0.0,0.0,0.0,0.010416666666666666,0.2
cd_best_stage3_eval.json,CD,best_stage3.pth,401.191996630417,5.172052230031344,250.11293059646854,0.7181891320280483,1.0,0.04375,0.0,0.010416666666666666,0.8
cd_final_model_eval.json,CD,final_model.pth,521.72793384178,0.33208198633804364,666.1980431448006,0.6780164644765297,0.0,0.0,0.0,0.30416666666666664,0.0
cd_latest_eval.json,CD,latest.pth,521.72793384178,0.33208198633804364,666.1980431448006,0.6780164644765297,0.0,0.0,0.0,0.30416666666666664,0.0
dd_best_model_eval.json,DD,best_model.pth,467.9824459739689,25.023804999126405,1007.086874402334,0.6866882701462831,0.2,0.008333333333333333,0.0,0.1486111111111111,0.2
dd_best_stage1_eval.json,DD,best_stage1.pth,623.6661959195186,5.968288451158613,1325.9158226880465,0.6151330353920155,0.0,0.0,0.0,1.0,0.0
dd_best_stage2_eval.json,DD,best_stage2.pth,495.0174515182031,60.35401191743718,1077.9737475624502,0.6480274228644245,1.0,0.035416666666666666,0.0,0.8118055555555556,0.2
dd_best_stage3_eval.json,DD,best_stage3.pth,467.9824459739689,25.023804999126405,1007.086874402334,0.6866882701462831,0.2,0.008333333333333333,0.0,0.1486111111111111,0.2
dd_final_model_eval.json,DD,final_model.pth,424.348649705929,4.241497501935958,713.7928273586028,0.703502140695745,0.2,0.0020833333333333333,0.0,0.03263888888888889,0.0
dd_latest_eval.json,DD,latest.pth,424.348649705929,4.241497501935958,713.7928273586028,0.703502140695745,0.2,0.0020833333333333333,0.0,0.03263888888888889,0.0
